,precision,recall,f1-score,support
abies_concolor,1.0,1.0,1.0,20.0
abies_nordmanniana,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
acer_campestre,1.0,1.0,1.0,11.0
acer_ginnala,1.0,1.0,1.0,12.0
acer_griseum,1.0,1.0,1.0,8.0
acer_negundo,1.0,1.0,1.0,19.0
acer_palmatum,1.0,1.0,1.0,12.0
acer_pensylvanicum,1.0,1.0,1.0,12.0
acer_platanoides,1.0,1.0,1.0,12.0
acer_pseudoplatanus,1.0,1.0,1.0,12.0
acer_rubrum,1.0,1.0,1.0,25.0
acer_saccharinum,1.0,1.0,1.0,15.0
acer_saccharum,1.0,1.0,1.0,16.0
aesculus_flava,1.0,1.0,1.0,12.0
aesculus_glabra,1.0,1.0,1.0,12.0
aesculus_hippocastamon,1.0,1.0,1.0,12.0
aesculus_pavi,1.0,1.0,1.0,12.0
ailanthus_altissima,1.0,1.0,1.0,10.0
albizia_julibrissin,1.0,1.0,1.0,12.0
amelanchier_arborea,0.8181818181818182,1.0,0.9,9.0
amelanchier_canadensis,1.0,1.0,1.0,12.0
amelanchier_laevis,0.9230769230769231,1.0,0.9600000000000001,12.0
asimina_triloba,1.0,1.0,1.0,20.0
betula_alleghaniensis,0.9230769230769231,1.0,0.9600000000000001,12.0
betula_jacqemontii,1.0,1.0,1.0,12.0
betula_lenta,1.0,0.9166666666666666,0.9565217391304348,12.0
betula_nigra,0.9230769230769231,1.0,0.9600000000000001,12.0
betula_populifolia,1.0,0.9166666666666666,0.9565217391304348,12.0
broussonettia_papyrifera,1.0,0.9583333333333334,0.9787234042553191,24.0
carpinus_betulus,1.0,1.0,1.0,12.0
carpinus_caroliniana,1.0,1.0,1.0,15.0
carya_cordiformis,1.0,1.0,1.0,15.0
carya_glabra,0.9090909090909091,1.0,0.9523809523809523,10.0
carya_ovata,1.0,1.0,1.0,12.0
carya_tomentosa,1.0,0.9166666666666666,0.9565217391304348,12.0
castanea_dentata,1.0,1.0,1.0,12.0
catalpa_bignonioides,1.0,1.0,1.0,17.0
catalpa_speciosa,1.0,1.0,1.0,12.0
cedrus_atlantica,1.0,1.0,1.0,8.0
cedrus_deodara,1.0,1.0,1.0,8.0
cedrus_libani,0.8461538461538461,0.9166666666666666,0.8799999999999999,12.0
celtis_occidentalis,1.0,0.9090909090909091,0.9523809523809523,11.0
celtis_tenuifolia,1.0,1.0,1.0,12.0
cercidiphyllum_japonicum,1.0,1.0,1.0,12.0
cercis_canadensis,1.0,1.0,1.0,17.0
chamaecyparis_pisifera,1.0,1.0,1.0,12.0
chamaecyparis_thyoides,1.0,1.0,1.0,12.0
chionanthus_retusus,0.9230769230769231,1.0,0.9600000000000001,12.0
chionanthus_virginicus,1.0,1.0,1.0,17.0
cladrastis_lutea,1.0,1.0,1.0,12.0
cornus_florida,1.0,1.0,1.0,12.0
cornus_kousa,1.0,1.0,1.0,12.0
cornus_mas,1.0,1.0,1.0,12.0
corylus_colurna,1.0,1.0,1.0,5.0
crataegus_crus-galli,1.0,1.0,1.0,10.0
crataegus_laevigata,1.0,1.0,1.0,12.0
crataegus_phaenopyrum,1.0,1.0,1.0,12.0
crataegus_pruinosa,1.0,1.0,1.0,12.0
crataegus_viridis,0.8571428571428571,1.0,0.923076923076923,12.0
cryptomeria_japonica,1.0,1.0,1.0,8.0
diospyros_virginiana,1.0,0.95,0.9743589743589743,20.0
eucommia_ulmoides,1.0,1.0,1.0,12.0
evodia_daniellii,1.0,1.0,1.0,8.0
fagus_grandifolia,1.0,1.0,1.0,12.0
ficus_carica,1.0,1.0,1.0,12.0
fraxinus_americana,1.0,0.8888888888888888,0.9411764705882353,9.0
fraxinus_nigra,1.0,1.0,1.0,12.0
fraxinus_pennsylvanica,1.0,1.0,1.0,12.0
ginkgo_biloba,1.0,1.0,1.0,12.0
gleditsia_triacanthos,1.0,1.0,1.0,15.0
gymnocladus_dioicus,1.0,1.0,1.0,12.0
halesia_tetraptera,1.0,1.0,1.0,12.0
ilex_opaca,0.9565217391304348,1.0,0.9777777777777777,22.0
juglans_cinerea,0.9230769230769231,1.0,0.9600000000000001,12.0
juglans_nigra,1.0,1.0,1.0,15.0
juniperus_virginiana,1.0,1.0,1.0,5.0
koelreuteria_paniculata,1.0,1.0,1.0,12.0
larix_decidua,1.0,0.9166666666666666,0.9565217391304348,12.0
liquidambar_styraciflua,0.9230769230769231,1.0,0.9600000000000001,12.0
liriodendron_tulipifera,1.0,1.0,1.0,18.0
maclura_pomifera,0.9772727272727273,1.0,0.9885057471264368,43.0
magnolia_acuminata,0.9230769230769231,1.0,0.9600000000000001,12.0
magnolia_denudata,1.0,0.9166666666666666,0.9565217391304348,12.0
