,precision,recall,f1-score,support
abies_concolor,0.0,0.0,0.0,40.0
abies_nordmanniana,0.0,0.0,0.0,25.0
acer_campestre,0.0,0.0,0.0,22.0
acer_ginnala,0.0,0.0,0.0,24.0
acer_griseum,0.0,0.0,0.0,16.0
acer_negundo,0.0,0.0,0.0,39.0
acer_palmatum,0.013793103448275862,0.08333333333333333,0.023668639053254437,24.0
acer_pensylvanicum,0.0,0.0,0.0,24.0
acer_platanoides,0.0,0.0,0.0,24.0
acer_pseudoplatanus,0.0,0.0,0.0,24.0
acer_rubrum,0.0,0.0,0.0,50.0
acer_saccharinum,0.05357142857142857,0.1,0.06976744186046512,30.0
acer_saccharum,0.0,0.0,0.0,32.0
aesculus_flava,0.5,0.043478260869565216,0.08,23.0
aesculus_glabra,0.0,0.0,0.0,24.0
aesculus_hippocastamon,0.0,0.0,0.0,24.0
aesculus_pavi,0.0,0.0,0.0,25.0
ailanthus_altissima,0.0,0.0,0.0,21.0
albizia_julibrissin,0.0,0.0,0.0,23.0
amelanchier_arborea,0.0,0.0,0.0,17.0
amelanchier_canadensis,0.0,0.0,0.0,24.0
amelanchier_laevis,0.0,0.0,0.0,24.0
asimina_triloba,0.0,0.0,0.0,40.0
betula_alleghaniensis,0.0,0.0,0.0,24.0
betula_jacqemontii,0.0,0.0,0.0,24.0
betula_lenta,0.0,0.0,0.0,24.0
betula_nigra,0.0,0.0,0.0,24.0
betula_populifolia,0.0,0.0,0.0,24.0
broussonettia_papyrifera,0.044444444444444446,0.08333333333333333,0.05797101449275363,48.0
carpinus_betulus,0.0,0.0,0.0,24.0
carpinus_caroliniana,0.0,0.0,0.0,30.0
carya_cordiformis,0.0,0.0,0.0,30.0
carya_glabra,0.0,0.0,0.0,20.0
carya_ovata,0.3333333333333333,0.08333333333333333,0.13333333333333333,24.0
carya_tomentosa,0.0,0.0,0.0,24.0
castanea_dentata,0.0,0.0,0.0,24.0
catalpa_bignonioides,0.0,0.0,0.0,34.0
catalpa_speciosa,0.0,0.0,0.0,24.0
cedrus_atlantica,0.0,0.0,0.0,16.0
cedrus_deodara,0.0,0.0,0.0,16.0
cedrus_libani,0.0,0.0,0.0,24.0
celtis_occidentalis,0.0,0.0,0.0,22.0
celtis_tenuifolia,0.0,0.0,0.0,24.0
cercidiphyllum_japonicum,0.0,0.0,0.0,24.0
cercis_canadensis,0.0,0.0,0.0,34.0
chamaecyparis_pisifera,0.0,0.0,0.0,24.0
chamaecyparis_thyoides,0.0,0.0,0.0,24.0
chionanthus_retusus,0.0,0.0,0.0,24.0
chionanthus_virginicus,0.0,0.0,0.0,34.0
cladrastis_lutea,0.0,0.0,0.0,24.0
cornus_florida,0.0,0.0,0.0,25.0
cornus_kousa,0.0,0.0,0.0,24.0
cornus_mas,0.0,0.0,0.0,24.0
corylus_colurna,0.0,0.0,0.0,9.0
crataegus_crus-galli,0.0034482758620689655,0.047619047619047616,0.006430868167202571,21.0
crataegus_laevigata,0.0,0.0,0.0,24.0
crataegus_phaenopyrum,0.0,0.0,0.0,24.0
crataegus_pruinosa,0.0,0.0,0.0,24.0
crataegus_viridis,0.0,0.0,0.0,24.0
cryptomeria_japonica,0.0,0.0,0.0,16.0
diospyros_virginiana,0.0,0.0,0.0,40.0
eucommia_ulmoides,0.0,0.0,0.0,24.0
evodia_daniellii,0.0,0.0,0.0,16.0
fagus_grandifolia,0.0,0.0,0.0,23.0
ficus_carica,0.0,0.0,0.0,24.0
fraxinus_americana,0.0,0.0,0.0,17.0
fraxinus_nigra,0.0,0.0,0.0,24.0
fraxinus_pennsylvanica,0.13513513513513514,0.20833333333333334,0.1639344262295082,24.0
ginkgo_biloba,0.0,0.0,0.0,24.0
gleditsia_triacanthos,0.0,0.0,0.0,30.0
gymnocladus_dioicus,0.0,0.0,0.0,24.0
halesia_tetraptera,0.0,0.0,0.0,24.0
ilex_opaca,0.0,0.0,0.0,43.0
juglans_cinerea,0.0,0.0,0.0,24.0
juglans_nigra,0.16666666666666666,0.03333333333333333,0.05555555555555555,30.0
juniperus_virginiana,0.0,0.0,0.0,9.0
koelreuteria_paniculata,0.0,0.0,0.0,24.0
larix_decidua,0.0,0.0,0.0,24.0
liquidambar_styraciflua,0.0,0.0,0.0,24.0
liriodendron_tulipifera,0.0,0.0,0.0,37.0
maclura_pomifera,0.0,0.0,0.0,85.0
magnolia_acuminata,0.0,0.0,0.0,24.0
magnolia_denudata,0.0,0.0,0.0,24.0
magnolia_grandiflora,0.0,0.0,0.0,24.0
magnolia_macrophylla,0.0,0.0,0.0,24.0
magnolia_soulangiana,0.0,0.0,0.0,8.0
magnolia_stellata,0.0,0.0,0.0,24.0
magnolia_tripetala,0.0,0.0,0.0,24.0
magnolia_virginiana,0.0,0.0,0.0,24.0
malus_angustifolia,0.0,0.0,0.0,11.0
malus_baccata,0.0,0.0,0.0,24.0
malus_coronaria,0.0,0.0,0.0,24.0
malus_floribunda,0.0,0.0,0.0,24.0
malus_hupehensis,0.0,0.0,0.0,24.0
malus_pumila,0.0,0.0,0.0,24.0
metasequoia_glyptostroboides,0.0,0.0,0.0,24.0
morus_alba,0.0,0.0,0.0,26.0
morus_rubra,0.0,0.0,0.0,25.0
nyssa_sylvatica,0.0,0.0,0.0,24.0
ostrya_virginiana,0.0,0.0,0.0,37.0
oxydendrum_arboreum,0.0,0.0,0.0,24.0
paulownia_tomentosa,0.0,0.0,0.0,24.0
phellodendron_amurense,0.0,0.0,0.0,24.0
picea_abies,0.0,0.0,0.0,24.0
picea_orientalis,0.0,0.0,0.0,24.0
picea_pungens,0.0,0.0,0.0,24.0
pinus_bungeana,0.0,0.0,0.0,24.0
pinus_cembra,0.0,0.0,0.0,24.0
pinus_densiflora,0.0,0.0,0.0,24.0
pinus_echinata,0.0,0.0,0.0,24.0
pinus_flexilis,0.0,0.0,0.0,25.0
pinus_koraiensis,0.0,0.0,0.0,23.0
pinus_nigra,0.0,0.0,0.0,24.0
pinus_parviflora,0.0,0.0,0.0,24.0
pinus_peucea,0.0,0.0,0.0,25.0
pinus_pungens,0.0,0.0,0.0,24.0
pinus_resinosa,0.0,0.0,0.0,24.0
pinus_rigida,0.0,0.0,0.0,24.0
pinus_strobus,0.0,0.0,0.0,24.0
pinus_sylvestris,0.0,0.0,0.0,24.0
pinus_taeda,0.0,0.0,0.0,24.0
pinus_thunbergii,0.0,0.0,0.0,24.0
pinus_virginiana,0.0,0.0,0.0,24.0
pinus_wallichiana,0.0,0.0,0.0,24.0
platanus_acerifolia,0.0,0.0,0.0,24.0
platanus_occidentalis,0.0,0.0,0.0,34.0
populus_deltoides,0.0,0.0,0.0,24.0
populus_grandidentata,0.0,0.0,0.0,24.0
populus_tremuloides,0.0,0.0,0.0,24.0
prunus_pensylvanica,0.0,0.0,0.0,24.0
prunus_sargentii,0.0,0.0,0.0,24.0
prunus_serotina,0.0,0.0,0.0,26.0
prunus_serrulata,0.0,0.0,0.0,24.0
prunus_subhirtella,0.0,0.0,0.0,24.0
prunus_virginiana,0.16666666666666666,0.041666666666666664,0.06666666666666667,24.0
prunus_yedoensis,0.0,0.0,0.0,24.0
pseudolarix_amabilis,0.0,0.0,0.0,23.0
ptelea_trifoliata,0.0,0.0,0.0,44.0
pyrus_calleryana,0.01053864168618267,0.375,0.02050113895216401,24.0
quercus_acutissima,0.0,0.0,0.0,24.0
quercus_alba,0.0,0.0,0.0,32.0
quercus_bicolor,0.0,0.0,0.0,25.0
quercus_cerris,0.0,0.0,0.0,24.0
quercus_coccinea,0.0,0.0,0.0,24.0
quercus_falcata,0.0,0.0,0.0,1.0
quercus_imbricaria,0.0,0.0,0.0,23.0
quercus_macrocarpa,0.0,0.0,0.0,24.0
quercus_marilandica,0.004484304932735426,0.041666666666666664,0.008097165991902834,24.0
quercus_michauxii,0.0,0.0,0.0,24.0
quercus_montana,0.0,0.0,0.0,38.0
quercus_muehlenbergii,0.0,0.0,0.0,24.0
quercus_nigra,0.0,0.0,0.0,24.0
quercus_palustris,0.0,0.0,0.0,24.0
quercus_phellos,0.0,0.0,0.0,24.0
quercus_robur,0.0,0.0,0.0,23.0
quercus_rubra,0.005952380952380952,0.125,0.011363636363636362,8.0
quercus_shumardii,0.0,0.0,0.0,24.0
quercus_stellata,0.0,0.0,0.0,24.0
quercus_velutina,0.0,0.0,0.0,24.0
quercus_virginiana,0.0,0.0,0.0,24.0
robinia_pseudo-acacia,0.0,0.0,0.0,25.0
salix_babylonica,0.0,0.0,0.0,24.0
salix_caroliniana,0.0,0.0,0.0,26.0
salix_matsudana,0.0,0.0,0.0,23.0
salix_nigra,0.0,0.0,0.0,24.0
sassafras_albidum,0.0,0.0,0.0,22.0
staphylea_trifolia,0.009174311926605505,0.029411764705882353,0.013986013986013986,34.0
stewartia_pseudocamellia,0.0,0.0,0.0,24.0
styrax_japonica,0.0,0.0,0.0,24.0
styrax_obassia,0.0,0.0,0.0,8.0
syringa_reticulata,0.0,0.0,0.0,12.0
taxodium_distichum,0.0,0.0,0.0,23.0
tilia_americana,0.0,0.0,0.0,29.0
tilia_cordata,0.0,0.0,0.0,24.0
tilia_europaea,0.0,0.0,0.0,24.0
tilia_tomentosa,0.0,0.0,0.0,24.0
toona_sinensis,0.019801980198019802,0.25,0.03669724770642201,8.0
tsuga_canadensis,0.0,0.0,0.0,24.0
ulmus_americana,0.0,0.0,0.0,40.0
ulmus_glabra,0.00641025641025641,0.23809523809523808,0.012484394506866416,21.0
ulmus_parvifolia,0.0,0.0,0.0,24.0
ulmus_procera,0.0,0.0,0.0,24.0
ulmus_pumila,0.0,0.0,0.0,24.0
ulmus_rubra,0.0,0.0,0.0,54.0
zelkova_serrata,0.0,0.0,0.0,24.0
accuracy,0.008423326133909287,0.008423326133909287,0.008423326133909287,0.008423326133909287
macro avg,0.007964437460725407,0.00964110438534991,0.004110581312787812,4630.0
weighted avg,0.007969826200379851,0.008423326133909287,0.00423938737965812,4630.0
