,precision,recall,f1-score,support
abies_concolor,1.0,1.0,1.0,10.0
abies_nordmanniana,1.0,0.7142857142857143,0.8333333333333333,7.0
acer_campestre,1.0,1.0,1.0,7.0
acer_ginnala,1.0,1.0,1.0,6.0
acer_griseum,1.0,0.8888888888888888,0.9411764705882353,9.0
acer_negundo,1.0,1.0,1.0,7.0
acer_palmatum,0.9047619047619048,1.0,0.9500000000000001,19.0
acer_pensylvanicum,1.0,0.8571428571428571,0.923076923076923,7.0
acer_platanoides,1.0,1.0,1.0,4.0
acer_pseudoplatanus,1.0,1.0,1.0,3.0
acer_rubrum,1.0,1.0,1.0,9.0
acer_saccharinum,1.0,0.875,0.9333333333333333,8.0
acer_saccharum,1.0,1.0,1.0,5.0
aesculus_flava,1.0,1.0,1.0,3.0
aesculus_glabra,1.0,1.0,1.0,9.0
aesculus_hippocastamon,1.0,1.0,1.0,4.0
aesculus_pavi,1.0,1.0,1.0,20.0
ailanthus_altissima,0.5,1.0,0.6666666666666666,3.0
albizia_julibrissin,1.0,1.0,1.0,6.0
amelanchier_arborea,0.7272727272727273,0.8888888888888888,0.7999999999999999,9.0
amelanchier_canadensis,0.875,1.0,0.9333333333333333,7.0
amelanchier_laevis,1.0,1.0,1.0,6.0
asimina_triloba,1.0,1.0,1.0,10.0
betula_alleghaniensis,0.875,1.0,0.9333333333333333,7.0
betula_jacqemontii,1.0,1.0,1.0,4.0
betula_lenta,1.0,1.0,1.0,2.0
betula_nigra,1.0,0.75,0.8571428571428571,4.0
betula_populifolia,1.0,1.0,1.0,5.0
broussonettia_papyrifera,0.9166666666666666,1.0,0.9565217391304348,11.0
carpinus_betulus,1.0,0.6666666666666666,0.8,3.0
carpinus_caroliniana,1.0,1.0,1.0,6.0
carya_cordiformis,1.0,1.0,1.0,10.0
carya_glabra,0.9375,1.0,0.967741935483871,15.0
carya_ovata,1.0,1.0,1.0,7.0
carya_tomentosa,1.0,1.0,1.0,11.0
castanea_dentata,1.0,0.875,0.9333333333333333,8.0
catalpa_bignonioides,1.0,0.8888888888888888,0.9411764705882353,9.0
catalpa_speciosa,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
cedrus_atlantica,1.0,1.0,1.0,16.0
cedrus_deodara,1.0,1.0,1.0,8.0
cedrus_libani,1.0,1.0,1.0,9.0
celtis_occidentalis,1.0,1.0,1.0,4.0
celtis_tenuifolia,1.0,1.0,1.0,5.0
cercidiphyllum_japonicum,1.0,1.0,1.0,5.0
cercis_canadensis,1.0,1.0,1.0,9.0
chamaecyparis_pisifera,1.0,1.0,1.0,10.0
chamaecyparis_thyoides,1.0,1.0,1.0,9.0
chionanthus_retusus,1.0,1.0,1.0,5.0
chionanthus_virginicus,1.0,0.8888888888888888,0.9411764705882353,9.0
cladrastis_lutea,1.0,1.0,1.0,10.0
cornus_florida,0.9090909090909091,1.0,0.9523809523809523,10.0
cornus_kousa,1.0,1.0,1.0,3.0
cornus_mas,0.9,1.0,0.9473684210526316,9.0
corylus_colurna,1.0,1.0,1.0,7.0
crataegus_crus-galli,1.0,1.0,1.0,3.0
crataegus_laevigata,1.0,1.0,1.0,5.0
crataegus_phaenopyrum,0.8,1.0,0.888888888888889,4.0
crataegus_pruinosa,1.0,1.0,1.0,7.0
crataegus_viridis,0.9,1.0,0.9473684210526316,9.0
cryptomeria_japonica,1.0,1.0,1.0,27.0
diospyros_virginiana,1.0,1.0,1.0,10.0
eucommia_ulmoides,0.9230769230769231,0.8571428571428571,0.888888888888889,14.0
evodia_daniellii,1.0,0.8571428571428571,0.923076923076923,7.0
fagus_grandifolia,1.0,0.875,0.9333333333333333,8.0
ficus_carica,0.9,1.0,0.9473684210526316,9.0
fraxinus_americana,1.0,1.0,1.0,3.0
fraxinus_nigra,1.0,1.0,1.0,17.0
fraxinus_pennsylvanica,1.0,1.0,1.0,3.0
ginkgo_biloba,1.0,1.0,1.0,4.0
gleditsia_triacanthos,1.0,1.0,1.0,9.0
gymnocladus_dioicus,1.0,1.0,1.0,6.0
halesia_tetraptera,1.0,1.0,1.0,5.0
ilex_opaca,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
juglans_cinerea,1.0,1.0,1.0,20.0
juglans_nigra,1.0,1.0,1.0,3.0
juniperus_virginiana,1.0,1.0,1.0,13.0
koelreuteria_paniculata,1.0,1.0,1.0,15.0
larix_decidua,1.0,0.8333333333333334,0.9090909090909091,6.0
liquidambar_styraciflua,1.0,1.0,1.0,9.0
liriodendron_tulipifera,1.0,1.0,1.0,10.0
maclura_pomifera,1.0,0.8,0.888888888888889,5.0
magnolia_acuminata,0.8571428571428571,1.0,0.923076923076923,6.0
magnolia_denudata,1.0,1.0,1.0,12.0
magnolia_grandiflora,1.0,0.6666666666666666,0.8,3.0
magnolia_macrophylla,1.0,1.0,1.0,5.0
magnolia_soulangiana,1.0,0.6666666666666666,0.8,3.0
magnolia_stellata,0.5,0.5555555555555556,0.5263157894736842,9.0
magnolia_tripetala,0.5,0.5,0.5,6.0
magnolia_virginiana,1.0,1.0,1.0,12.0
malus_angustifolia,1.0,1.0,1.0,6.0
malus_baccata,0.75,0.8571428571428571,0.7999999999999999,7.0
malus_coronaria,1.0,1.0,1.0,6.0
malus_floribunda,1.0,1.0,1.0,6.0
malus_hupehensis,1.0,1.0,1.0,6.0
malus_pumila,1.0,1.0,1.0,11.0
metasequoia_glyptostroboides,0.8,0.8,0.8000000000000002,10.0
morus_alba,1.0,0.6666666666666666,0.8,3.0
morus_rubra,1.0,1.0,1.0,3.0
nyssa_sylvatica,1.0,1.0,1.0,9.0
ostrya_virginiana,1.0,1.0,1.0,5.0
oxydendrum_arboreum,1.0,1.0,1.0,9.0
