,precision,recall,f1-score,support
abies_concolor,1.0,0.15,0.2608695652173913,40.0
abies_nordmanniana,0.0,0.0,0.0,25.0
acer_campestre,1.0,0.18181818181818182,0.3076923076923077,22.0
acer_ginnala,0.8666666666666667,0.5416666666666666,0.6666666666666667,24.0
acer_griseum,0.5909090909090909,0.8125,0.6842105263157896,16.0
acer_negundo,1.0,0.5128205128205128,0.6779661016949152,39.0
acer_palmatum,1.0,0.25,0.4,24.0
acer_pensylvanicum,1.0,0.9166666666666666,0.9565217391304348,24.0
acer_platanoides,1.0,0.7916666666666666,0.8837209302325582,24.0
acer_pseudoplatanus,0.8,1.0,0.888888888888889,24.0
acer_rubrum,0.20425531914893616,0.96,0.3368421052631579,50.0
acer_saccharinum,0.7142857142857143,1.0,0.8333333333333333,30.0
acer_saccharum,1.0,0.65625,0.7924528301886793,32.0
aesculus_flava,0.03343023255813953,1.0,0.06469760900140646,23.0
aesculus_glabra,1.0,0.5416666666666666,0.7027027027027027,24.0
aesculus_hippocastamon,1.0,0.8333333333333334,0.9090909090909091,24.0
aesculus_pavi,0.95,0.76,0.8444444444444444,25.0
ailanthus_altissima,0.6129032258064516,0.9047619047619048,0.7307692307692307,21.0
albizia_julibrissin,0.8518518518518519,1.0,0.92,23.0
amelanchier_arborea,0.171875,0.6470588235294118,0.2716049382716049,17.0
amelanchier_canadensis,1.0,0.041666666666666664,0.07999999999999999,24.0
amelanchier_laevis,1.0,0.041666666666666664,0.07999999999999999,24.0
asimina_triloba,0.8297872340425532,0.975,0.896551724137931,40.0
betula_alleghaniensis,1.0,0.7083333333333334,0.8292682926829268,24.0
betula_jacqemontii,1.0,0.041666666666666664,0.07999999999999999,24.0
betula_lenta,0.0,0.0,0.0,24.0
betula_nigra,0.5666666666666667,0.7083333333333334,0.6296296296296297,24.0
betula_populifolia,0.2,0.041666666666666664,0.06896551724137931,24.0
broussonettia_papyrifera,0.5753424657534246,0.875,0.6942148760330579,48.0
carpinus_betulus,1.0,0.08333333333333333,0.15384615384615385,24.0
carpinus_caroliniana,1.0,0.06666666666666667,0.125,30.0
carya_cordiformis,1.0,0.8333333333333334,0.9090909090909091,30.0
carya_glabra,0.6666666666666666,0.9,0.7659574468085106,20.0
carya_ovata,0.10810810810810811,1.0,0.1951219512195122,24.0
carya_tomentosa,0.71875,0.9583333333333334,0.8214285714285714,24.0
castanea_dentata,1.0,1.0,1.0,24.0
catalpa_bignonioides,0.9142857142857143,0.9411764705882353,0.9275362318840579,34.0
catalpa_speciosa,0.75,0.875,0.8076923076923077,24.0
