,precision,recall,f1-score,support
abies_concolor,0.6666666666666666,0.8,0.7272727272727272,5.0
abies_nordmanniana,0.6666666666666666,1.0,0.8,4.0
acer_campestre,1.0,1.0,1.0,4.0
acer_ginnala,0.75,1.0,0.8571428571428571,3.0
acer_griseum,1.0,1.0,1.0,5.0
acer_negundo,0.0,0.0,0.0,3.0
acer_palmatum,0.6,1.0,0.7499999999999999,9.0
acer_pensylvanicum,1.0,0.25,0.4,4.0
acer_platanoides,0.0,0.0,0.0,2.0
acer_pseudoplatanus,1.0,1.0,1.0,1.0
acer_rubrum,1.0,0.8,0.888888888888889,5.0
acer_saccharinum,1.0,0.75,0.8571428571428571,4.0
acer_saccharum,0.0,0.0,0.0,2.0
aesculus_flava,0.0,0.0,0.0,1.0
aesculus_glabra,0.8,1.0,0.888888888888889,4.0
aesculus_hippocastamon,0.5,1.0,0.6666666666666666,2.0
aesculus_pavi,0.9090909090909091,1.0,0.9523809523809523,10.0
ailanthus_altissima,1.0,0.5,0.6666666666666666,2.0
albizia_julibrissin,0.75,1.0,0.8571428571428571,3.0
amelanchier_arborea,1.0,0.5,0.6666666666666666,4.0
amelanchier_canadensis,0.0,0.0,0.0,4.0
amelanchier_laevis,1.0,1.0,1.0,3.0
asimina_triloba,1.0,0.6,0.7499999999999999,5.0
betula_alleghaniensis,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
betula_jacqemontii,0.16666666666666666,0.5,0.25,2.0
betula_lenta,0.0,0.0,0.0,1.0
betula_nigra,0.0,0.0,0.0,2.0
betula_populifolia,1.0,1.0,1.0,3.0
broussonettia_papyrifera,1.0,0.6,0.7499999999999999,5.0
carpinus_betulus,0.5,1.0,0.6666666666666666,1.0
carpinus_caroliniana,0.75,1.0,0.8571428571428571,3.0
carya_cordiformis,1.0,0.8,0.888888888888889,5.0
carya_glabra,0.6153846153846154,1.0,0.761904761904762,8.0
carya_ovata,1.0,0.25,0.4,4.0
carya_tomentosa,1.0,0.2,0.33333333333333337,5.0
castanea_dentata,0.6666666666666666,0.5,0.5714285714285715,4.0
catalpa_bignonioides,0.5,0.4,0.4444444444444445,5.0
catalpa_speciosa,0.75,0.8571428571428571,0.7999999999999999,7.0
cedrus_atlantica,0.625,0.625,0.625,8.0
cedrus_deodara,1.0,0.25,0.4,4.0
cedrus_libani,1.0,1.0,1.0,5.0
celtis_occidentalis,0.0,0.0,0.0,2.0
celtis_tenuifolia,0.5,0.3333333333333333,0.4,3.0
cercidiphyllum_japonicum,0.6666666666666666,1.0,0.8,2.0
cercis_canadensis,0.6,0.75,0.6666666666666665,4.0
chamaecyparis_pisifera,0.5555555555555556,1.0,0.7142857142857143,5.0
chamaecyparis_thyoides,1.0,1.0,1.0,5.0
chionanthus_retusus,0.6666666666666666,1.0,0.8,2.0
chionanthus_virginicus,0.42857142857142855,0.6,0.5,5.0
cladrastis_lutea,0.5,0.8,0.6153846153846154,5.0
cornus_florida,0.8333333333333334,1.0,0.9090909090909091,5.0
