,precision,recall,f1-score,support
abies_concolor,1.0,1.0,1.0,5.0
abies_nordmanniana,1.0,0.5,0.6666666666666666,4.0
acer_campestre,0.8,1.0,0.888888888888889,4.0
acer_ginnala,1.0,0.3333333333333333,0.5,3.0
acer_griseum,0.6666666666666666,0.4,0.5,5.0
acer_negundo,0.5,0.3333333333333333,0.4,3.0
acer_palmatum,0.6666666666666666,0.8888888888888888,0.761904761904762,9.0
acer_pensylvanicum,0.6666666666666666,0.5,0.5714285714285715,4.0
acer_platanoides,0.4,1.0,0.5714285714285715,2.0
acer_pseudoplatanus,1.0,1.0,1.0,1.0
acer_rubrum,1.0,0.6,0.7499999999999999,5.0
acer_saccharinum,0.75,0.75,0.75,4.0
acer_saccharum,0.5,0.5,0.5,2.0
aesculus_flava,0.5,1.0,0.6666666666666666,1.0
aesculus_glabra,1.0,0.75,0.8571428571428571,4.0
aesculus_hippocastamon,1.0,1.0,1.0,2.0
aesculus_pavi,0.8181818181818182,0.9,0.8571428571428572,10.0
ailanthus_altissima,0.3333333333333333,1.0,0.5,2.0
albizia_julibrissin,0.6,1.0,0.7499999999999999,3.0
amelanchier_arborea,0.4,0.5,0.4444444444444445,4.0
amelanchier_canadensis,1.0,0.75,0.8571428571428571,4.0
amelanchier_laevis,1.0,1.0,1.0,3.0
asimina_triloba,0.5,0.8,0.6153846153846154,5.0
betula_alleghaniensis,0.3,1.0,0.4615384615384615,3.0
betula_jacqemontii,0.3333333333333333,0.5,0.4,2.0
betula_lenta,0.2,1.0,0.33333333333333337,1.0
betula_nigra,0.25,0.5,0.3333333333333333,2.0
betula_populifolia,0.375,1.0,0.5454545454545454,3.0
broussonettia_papyrifera,0.75,0.6,0.6666666666666665,5.0
carpinus_betulus,0.0,0.0,0.0,1.0
carpinus_caroliniana,0.5,0.6666666666666666,0.5714285714285715,3.0
carya_cordiformis,0.8333333333333334,1.0,0.9090909090909091,5.0
carya_glabra,1.0,1.0,1.0,8.0
carya_ovata,0.6666666666666666,1.0,0.8,4.0
carya_tomentosa,1.0,0.8,0.888888888888889,5.0
castanea_dentata,1.0,0.5,0.6666666666666666,4.0
catalpa_bignonioides,1.0,0.2,0.33333333333333337,5.0
catalpa_speciosa,0.5,0.7142857142857143,0.588235294117647,7.0
cedrus_atlantica,0.6363636363636364,0.875,0.7368421052631579,8.0
cedrus_deodara,1.0,0.75,0.8571428571428571,4.0
cedrus_libani,1.0,0.8,0.888888888888889,5.0
celtis_occidentalis,0.5,0.5,0.5,2.0
celtis_tenuifolia,0.75,1.0,0.8571428571428571,3.0
cercidiphyllum_japonicum,0.2857142857142857,1.0,0.4444444444444445,2.0
cercis_canadensis,0.42857142857142855,0.75,0.5454545454545454,4.0
chamaecyparis_pisifera,0.8,0.8,0.8000000000000002,5.0
chamaecyparis_thyoides,0.8333333333333334,1.0,0.9090909090909091,5.0
chionanthus_retusus,1.0,0.5,0.6666666666666666,2.0
chionanthus_virginicus,0.6666666666666666,0.8,0.7272727272727272,5.0
cladrastis_lutea,0.8333333333333334,1.0,0.9090909090909091,5.0
cornus_florida,1.0,1.0,1.0,5.0
cornus_kousa,0.0,0.0,0.0,1.0
cornus_mas,0.4,1.0,0.5714285714285715,4.0
corylus_colurna,1.0,0.75,0.8571428571428571,4.0
crataegus_crus-galli,0.0,0.0,0.0,1.0
crataegus_laevigata,1.0,1.0,1.0,2.0
crataegus_phaenopyrum,0.0,0.0,0.0,2.0
crataegus_pruinosa,1.0,1.0,1.0,3.0
crataegus_viridis,0.8,0.8,0.8000000000000002,5.0
cryptomeria_japonica,1.0,0.9230769230769231,0.9600000000000001,13.0
diospyros_virginiana,0.42857142857142855,0.6,0.5,5.0
eucommia_ulmoides,0.5,0.42857142857142855,0.4615384615384615,7.0
evodia_daniellii,1.0,1.0,1.0,4.0
fagus_grandifolia,0.6,0.75,0.6666666666666665,4.0
ficus_carica,0.625,1.0,0.7692307692307693,5.0
fraxinus_americana,1.0,1.0,1.0,1.0
fraxinus_nigra,1.0,0.6666666666666666,0.8,9.0
fraxinus_pennsylvanica,1.0,1.0,1.0,1.0
ginkgo_biloba,1.0,1.0,1.0,2.0
gleditsia_triacanthos,0.8,0.8,0.8000000000000002,5.0
gymnocladus_dioicus,0.0,0.0,0.0,3.0
halesia_tetraptera,0.0,0.0,0.0,2.0
ilex_opaca,0.4,0.6666666666666666,0.5,3.0
juglans_cinerea,0.75,0.3,0.4285714285714285,10.0
juglans_nigra,1.0,1.0,1.0,1.0
juniperus_virginiana,0.625,0.7142857142857143,0.6666666666666666,7.0
koelreuteria_paniculata,1.0,1.0,1.0,7.0
larix_decidua,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
liquidambar_styraciflua,0.8333333333333334,1.0,0.9090909090909091,5.0
liriodendron_tulipifera,0.75,0.6,0.6666666666666665,5.0
maclura_pomifera,0.0,0.0,0.0,2.0
magnolia_acuminata,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
magnolia_denudata,1.0,0.16666666666666666,0.2857142857142857,6.0
magnolia_grandiflora,0.0,0.0,0.0,1.0
magnolia_macrophylla,1.0,1.0,1.0,2.0
magnolia_soulangiana,0.0,0.0,0.0,2.0
magnolia_stellata,0.5,0.2,0.28571428571428575,5.0
magnolia_tripetala,0.0,0.0,0.0,3.0
magnolia_virginiana,1.0,0.5,0.6666666666666666,6.0
malus_angustifolia,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
malus_baccata,0.4,0.5,0.4444444444444445,4.0
malus_coronaria,1.0,0.6666666666666666,0.8,3.0
malus_floribunda,1.0,1.0,1.0,3.0
malus_hupehensis,1.0,1.0,1.0,3.0
malus_pumila,0.6666666666666666,0.4,0.5,5.0
metasequoia_glyptostroboides,0.5,0.2,0.28571428571428575,5.0
