,precision,recall,f1-score,support
abies_concolor,0.7142857142857143,1.0,0.8333333333333333,5.0
abies_nordmanniana,1.0,0.25,0.4,4.0
acer_campestre,1.0,0.75,0.8571428571428571,4.0
acer_ginnala,0.75,1.0,0.8571428571428571,3.0
acer_griseum,1.0,0.6,0.7499999999999999,5.0
acer_negundo,1.0,0.3333333333333333,0.5,3.0
acer_palmatum,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
acer_pensylvanicum,1.0,0.25,0.4,4.0
acer_platanoides,0.0,0.0,0.0,2.0
acer_pseudoplatanus,0.0,0.0,0.0,1.0
acer_rubrum,1.0,0.6,0.7499999999999999,5.0
acer_saccharinum,0.5,0.5,0.5,4.0
acer_saccharum,1.0,0.5,0.6666666666666666,2.0
aesculus_flava,0.0,0.0,0.0,1.0
aesculus_glabra,1.0,0.5,0.6666666666666666,4.0
aesculus_hippocastamon,0.0,0.0,0.0,2.0
aesculus_pavi,0.42857142857142855,0.6,0.5,10.0
ailanthus_altissima,0.6666666666666666,1.0,0.8,2.0
albizia_julibrissin,0.42857142857142855,1.0,0.6,3.0
amelanchier_arborea,1.0,0.5,0.6666666666666666,4.0
amelanchier_canadensis,0.0,0.0,0.0,4.0
amelanchier_laevis,1.0,1.0,1.0,3.0
asimina_triloba,0.6666666666666666,0.8,0.7272727272727272,5.0
betula_alleghaniensis,0.5,0.6666666666666666,0.5714285714285715,3.0
betula_jacqemontii,0.0,0.0,0.0,2.0
betula_lenta,0.0,0.0,0.0,1.0
betula_nigra,0.0,0.0,0.0,2.0
betula_populifolia,0.6,1.0,0.7499999999999999,3.0
broussonettia_papyrifera,1.0,0.8,0.888888888888889,5.0
carpinus_betulus,0.0,0.0,0.0,1.0
carpinus_caroliniana,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
carya_cordiformis,1.0,1.0,1.0,5.0
carya_glabra,1.0,0.5,0.6666666666666666,8.0
carya_ovata,0.75,0.75,0.75,4.0
